"measure","tp","est","SE","df","t.value","p.value","sig"
"MTSCFAPC","(Intercept)",70.12,13.54,7.2,5.18,"0.001","**"
"MTSCFAPC","tp(A7)",7.47,17.26,6,0.43,"0.680",""
"MTSCFAPC","tp(B7)",-2.68,17.26,6,-0.16,"0.882",""
"MTSCFAPC","tp(B30)",4.81,17.26,6,0.28,"0.790",""
"MTSCFAPC","genderM",3.02,3.62,7.2,0.83,"0.431",""
"MTSCFAPC","eduLOE_4",1.35,3.01,7.2,0.45,"0.668",""
"MTSCFAPC","eduLOE_5",6.22,3.22,7.2,1.93,"0.094",""
"MTSCFAPC","age",0.61,0.25,7.2,2.43,"0.044","*"
"MTSCFAPC","LED",-0.01,0.01,7.2,-1.28,"0.241",""
"MTSCFAPC","severity",-0.39,0.17,7.2,-2.35,"0.050",""
"MTSCFAPC","tp(A7):genderM",-4.24,4.61,6,-0.92,"0.394",""
"MTSCFAPC","tp(B7):genderM",-0.28,4.61,6,-0.06,"0.954",""
"MTSCFAPC","tp(B30):genderM",-3.79,4.61,6,-0.82,"0.443",""
"MTSCFAPC","tp(A7):eduLOE_4",-4.03,3.84,6,-1.05,"0.335",""
"MTSCFAPC","tp(B7):eduLOE_4",-1.35,3.84,6,-0.35,"0.737",""
"MTSCFAPC","tp(B30):eduLOE_4",-6.29,3.84,6,-1.64,"0.152",""
"MTSCFAPC","tp(A7):eduLOE_5",-9.56,4.11,6,-2.33,"0.059",""
"MTSCFAPC","tp(B7):eduLOE_5",-4.65,4.11,6,-1.13,"0.301",""
"MTSCFAPC","tp(B30):eduLOE_5",-8.24,4.11,6,-2.01,"0.092",""
"MTSCFAPC","tp(A7):age",-0.23,0.32,6,-0.71,"0.504",""
"MTSCFAPC","tp(B7):age",-0.04,0.32,6,-0.12,"0.912",""
"MTSCFAPC","tp(B30):age",-0.14,0.32,6,-0.45,"0.670",""
"MTSCFAPC","tp(A7):LED",0.01,0.01,6,1.22,"0.268",""
"MTSCFAPC","tp(B7):LED",0,0.01,6,0.32,"0.757",""
"MTSCFAPC","tp(B30):LED",0.01,0.01,6,0.77,"0.469",""
"MTSCFAPC","tp(A7):severity",0.29,0.21,6,1.38,"0.216",""
"MTSCFAPC","tp(B7):severity",0.17,0.21,6,0.8,"0.452",""
"MTSCFAPC","tp(B30):severity",0.28,0.21,6,1.3,"0.242",""
"MTSPS82","(Intercept)",-605.5,1851.45,8,-0.33,"0.752",""
"MTSPS82","tp(A7)",159.76,2618.34,8,0.06,"0.953",""
"MTSPS82","tp(B7)",-795.75,2618.34,8,-0.3,"0.769",""
"MTSPS82","tp(B30)",725.63,2618.34,8,0.28,"0.789",""
"MTSPS82","genderM",-430.49,494.95,8,-0.87,"0.410",""
"MTSPS82","eduLOE_4",173.59,412.1,8,0.42,"0.685",""
"MTSPS82","eduLOE_5",-203.98,440.76,8,-0.46,"0.656",""
"MTSPS82","age",24.56,34.34,8,0.72,"0.495",""
"MTSPS82","LED",1.17,0.77,8,1.51,"0.169",""
"MTSPS82","severity",24.06,22.74,8,1.06,"0.321",""
"MTSPS82","tp(A7):genderM",1087.4,699.96,8,1.55,"0.159",""
"MTSPS82","tp(B7):genderM",598.82,699.96,8,0.86,"0.417",""
"MTSPS82","tp(B30):genderM",348.19,699.96,8,0.5,"0.632",""
"MTSPS82","tp(A7):eduLOE_4",-1881.77,582.8,8,-3.23,"0.012","*"
"MTSPS82","tp(B7):eduLOE_4",-636.28,582.8,8,-1.09,"0.307",""
"MTSPS82","tp(B30):eduLOE_4",-1069.67,582.8,8,-1.84,"0.104",""
"MTSPS82","tp(A7):eduLOE_5",-677.73,623.33,8,-1.09,"0.309",""
"MTSPS82","tp(B7):eduLOE_5",115.72,623.33,8,0.19,"0.857",""
"MTSPS82","tp(B30):eduLOE_5",-1161.62,623.33,8,-1.86,"0.099",""
"MTSPS82","tp(A7):age",12.58,48.57,8,0.26,"0.802",""
"MTSPS82","tp(B7):age",49.58,48.57,8,1.02,"0.337",""
"MTSPS82","tp(B30):age",-30.46,48.57,8,-0.63,"0.548",""
"MTSPS82","tp(A7):LED",-1.64,1.1,8,-1.5,"0.173",""
"MTSPS82","tp(B7):LED",-1.72,1.1,8,-1.57,"0.156",""
"MTSPS82","tp(B30):LED",0.23,1.1,8,0.21,"0.842",""
"MTSPS82","tp(A7):severity",3.95,32.16,8,0.12,"0.905",""
"MTSPS82","tp(B7):severity",-55.15,32.16,8,-1.71,"0.125",""
"MTSPS82","tp(B30):severity",45.4,32.16,8,1.41,"0.196",""
"MTSRCAMD","(Intercept)",-255.21,2039.88,3.4,-0.13,"0.907",""
"MTSRCAMD","tp(A7)",-2413.19,1664.91,6,-1.45,"0.197",""
"MTSRCAMD","tp(B7)",-1319.05,1664.91,6,-0.79,"0.458",""
"MTSRCAMD","tp(B30)",-1070.16,1664.91,6,-0.64,"0.544",""
"MTSRCAMD","genderM",-369.34,545.32,3.4,-0.68,"0.541",""
"MTSRCAMD","eduLOE_4",-143.98,454.04,3.4,-0.32,"0.770",""
"MTSRCAMD","eduLOE_5",-242.26,485.62,3.4,-0.5,"0.648",""
"MTSRCAMD","age",18.28,37.84,3.4,0.48,"0.658",""
"MTSRCAMD","LED",1.29,0.85,3.4,1.51,"0.216",""
"MTSRCAMD","severity",35.89,25.05,3.4,1.43,"0.237",""
"MTSRCAMD","tp(A7):genderM",78.61,445.08,6,0.18,"0.866",""
"MTSRCAMD","tp(B7):genderM",646.42,445.08,6,1.45,"0.197",""
"MTSRCAMD","tp(B30):genderM",341.9,445.08,6,0.77,"0.472",""
"MTSRCAMD","tp(A7):eduLOE_4",-82.61,370.58,6,-0.22,"0.831",""
"MTSRCAMD","tp(B7):eduLOE_4",-449.9,370.58,6,-1.21,"0.270",""
"MTSRCAMD","tp(B30):eduLOE_4",-388.17,370.58,6,-1.05,"0.335",""
"MTSRCAMD","tp(A7):eduLOE_5",-82.09,396.35,6,-0.21,"0.843",""
"MTSRCAMD","tp(B7):eduLOE_5",288.66,396.35,6,0.73,"0.494",""
"MTSRCAMD","tp(B30):eduLOE_5",-253.09,396.35,6,-0.64,"0.547",""
"MTSRCAMD","tp(A7):age",33.04,30.88,6,1.07,"0.326",""
"MTSRCAMD","tp(B7):age",38.76,30.88,6,1.26,"0.256",""
"MTSRCAMD","tp(B30):age",10.29,30.88,6,0.33,"0.750",""
"MTSRCAMD","tp(A7):LED",0.14,0.7,6,0.19,"0.852",""
"MTSRCAMD","tp(B7):LED",-1.38,0.7,6,-1.97,"0.096",""
"MTSRCAMD","tp(B30):LED",-0.35,0.7,6,-0.51,"0.629",""
"MTSRCAMD","tp(A7):severity",4.2,20.45,6,0.21,"0.844",""
"MTSRCAMD","tp(B7):severity",-31.89,20.45,6,-1.56,"0.170",""
"MTSRCAMD","tp(B30):severity",8.05,20.45,6,0.39,"0.707",""
"MTSRFAMD","(Intercept)",-450.63,2080.69,3.2,-0.22,"0.841",""
"MTSRFAMD","tp(A7)",-2336.57,1615.05,6,-1.45,"0.198",""
"MTSRFAMD","tp(B7)",-1197.88,1615.05,6,-0.74,"0.486",""
"MTSRFAMD","tp(B30)",-874.75,1615.05,6,-0.54,"0.608",""
"MTSRFAMD","genderM",-342.6,556.23,3.2,-0.62,"0.578",""
"MTSRFAMD","eduLOE_4",-62.35,463.12,3.2,-0.13,"0.901",""
"MTSRFAMD","eduLOE_5",-126.24,495.33,3.2,-0.25,"0.814",""
"MTSRFAMD","age",23.03,38.59,3.2,0.6,"0.590",""
"MTSRFAMD","LED",1.18,0.87,3.2,1.36,"0.262",""
"MTSRFAMD","severity",30.92,25.56,3.2,1.21,"0.307",""
"MTSRFAMD","tp(A7):genderM",54,431.75,6,0.13,"0.905",""
"MTSRFAMD","tp(B7):genderM",642.72,431.75,6,1.49,"0.187",""
"MTSRFAMD","tp(B30):genderM",315.16,431.75,6,0.73,"0.493",""
"MTSRFAMD","tp(A7):eduLOE_4",-176.92,359.48,6,-0.49,"0.640",""
"MTSRFAMD","tp(B7):eduLOE_4",-493.32,359.48,6,-1.37,"0.219",""
"MTSRFAMD","tp(B30):eduLOE_4",-469.8,359.48,6,-1.31,"0.239",""
"MTSRFAMD","tp(A7):eduLOE_5",-209.53,384.48,6,-0.54,"0.605",""
"MTSRFAMD","tp(B7):eduLOE_5",234.68,384.48,6,0.61,"0.564",""
"MTSRFAMD","tp(B30):eduLOE_5",-369.11,384.48,6,-0.96,"0.374",""
"MTSRFAMD","tp(A7):age",30.16,29.96,6,1.01,"0.353",""
"MTSRFAMD","tp(B7):age",36.05,29.96,6,1.2,"0.274",""
"MTSRFAMD","tp(B30):age",5.54,29.96,6,0.18,"0.859",""
"MTSRFAMD","tp(A7):LED",0.25,0.68,6,0.38,"0.720",""
"MTSRFAMD","tp(B7):LED",-1.32,0.68,6,-1.95,"0.099",""
